
('indeed', 41)
 
('thing', 41)
 
('both', 41)
 
('call', 41)
 
('“That', 41)
 
('looking', 41)
 
('use', 40)
 
('passed', 40)
 
('gentleman', 40)
 
('clear', 40)
 
('money', 40)
 
('papers', 40)
 
('another', 40)
 
('sure', 40)
 
('met', 40)
 
('Baker', 39)
 
('fire', 39)
 
('many', 39)
 
('paper', 39)
 
('large', 39)
 
('hat', 39)
 
('soon', 39)
 
('When', 39)
 
('Mrs', 39)
 
('gone', 39)
 
('police', 38)
 
('word', 38)
 
('since', 38)
 
('yourself', 38)
 
('“My', 38)
 
('point', 38)
 
('less', 38)
 
('whom', 38)
 
('half', 37)
 
('minutes', 37)
 
('They', 36)
 
('returned', 36)
 
('part', 36)
 
('across', 36)
 
('London', 36)
 
('does', 36)
 
('why', 36)
 
('£', 36)
 
('Lord', 36)
 
('suddenly', 36)
 
('bed', 36)
 
('save', 35)
 
('“There', 35)
 
('opened', 35)
 
('read', 35)
 
('country', 34)
 
('stood', 34)
 
('either', 34)
 
('facts', 34)
 
('during', 34)
 
('ask', 34)
 
('Lestrade', 34)
 
('Simon', 34)
 
('strong', 33)
 
('among', 33)
 
('given', 33)
 
('hear', 33)
 
('entered', 33)
 
('men', 33)
 
('rushed', 33)
 
('Rucastle', 33)
 
('each', 32)
 
('singular', 32)
 
('dark', 32)
 
('story', 32)
 
('corner', 32)
 
('together', 32)
 
('believe', 32)
 
('moment', 32)
 
('laid', 32)
 
('interest', 32)
 
('least', 32)
 
('On', 32)
 
('question', 32)
 
('hope', 32)
 
('works', 32)
 
('felt', 31)
 
('best', 31)
 
('At', 31)
 
('able', 31)
 
('five', 31)
 
('became', 31)
 
('o’clock', 31)
 
('forward', 31)
 
('new', 30)
 
('certainly', 30)
 
('“This', 30)
 
('sound', 30)
 
('evening', 30)
 
('several', 30)
 
('him”', 30)
 
('going', 30)
 
('McCarthy', 30)
 
('Gutenberg', 29)
 
('anyone', 29)
 
('companion', 29)
 
('threw', 29)
 
('hour', 29)
 
('client', 29)
 
('near', 29)
 
('turn', 29)
 
('instant', 29)
 
('waiting', 29)
 
('used', 29)
 
('fellow', 29)
 
('things', 28)
 
('note', 28)
 
('heavy', 28)
 
('Dr', 28)
 
('four', 28)
 
('walked', 28)
 
('seems', 28)
 
('red', 28)
 
('letter', 28)
 
('ran', 28)
 
('keep', 28)
 
('obvious', 28)
 
('cut', 28)
 
('spoke', 27)
 
('manner', 27)
 
('seven', 27)
 
('true', 27)
 
('taken', 27)
 
('people', 27)
 
('hard', 27)
 
('cry', 27)
 
('stone', 27)
 
('electronic', 27)
 
('THE', 26)
 
('rooms', 26)
 
('For', 26)
 
('visitor', 26)
 
('lost', 26)
 
('want', 26)
 
('feet', 26)
 
('appeared', 26)
 
('called', 26)
 
('white', 26)
 
('floor', 26)
 
('else', 26)
 
('fear', 26)
 
('drove', 26)
 
('ten', 26)
 
('coming', 26)
 
('reason', 26)
 
('marriage', 25)
 
('crime', 25)
 
('family', 25)
 
('One', 25)
 
('led', 25)
 
('followed', 25)
 
('dress', 25)
 
('“We', 25)
 
('second', 25)
 
('Watson”', 25)
 
('began', 25)
 
('air', 25)
 
('held', 25)
 
('full', 25)
 
('goose', 25)
 
('sister', 25)
 
('With', 24)
 
('eye', 24)
 
('Holmes”', 24)
 
('ago', 24)
 
('steps', 24)
 
('death', 24)
 
('rose', 24)
 
('present', 24)
 
('person', 24)
 
('letters', 24)
 
('windows', 24)
 
('cab', 24)
 
('started', 24)
 
('absolutely', 24)
 
('alone', 24)
 
('remember', 24)
 
('struck', 24)
 
('silence', 24)
 
('above', 24)
 
('terms', 23)
 
('attention', 23)
 
('week', 23)
 
('imagine', 23)
 
('six', 23)
 
('don’t', 23)
 
('glancing', 23)
 
('deep', 23)
 
('sprang', 23)
 
('King', 23)
 
('year', 23)
 
('beside', 23)
 
('likely', 23)
 
('standing', 23)
 
('heart', 23)
 
('grey', 23)
 
('considerable', 23)
 
('“that', 23)
 
('inspector', 23)
 
('lamp', 23)
 
('Clair', 23)
 
('“How', 22)
 
('observed', 22)
 
('written', 22)
 
('blue', 22)
 
('“A', 22)
 
('passage', 22)
 
('outside', 22)
 
('carried', 22)
 
('past', 22)
 
('cases', 22)
 
('glanced', 22)
 
('ground', 22)
 
('“Your', 22)
 
('next', 22)
 
('quick', 22)
 
('hurried', 22)
 
('sort', 22)
 
('dressed', 22)
 
('easy', 22)
 
('drawn', 22)
 
('mine', 22)
 
('married', 22)
 
('closed', 22)
 
('fact', 22)
 
('office', 22)
 
('“‘I', 22)
 
('ready', 22)
 
('town', 22)
 
('short', 22)
 
('known', 22)
 
('idea', 22)
 
('coronet', 22)
 
('cold', 21)
 
('position', 21)
 
('nature', 21)
 
('late', 21)
 
('Mary', 21)
 
('address', 21)
 
('step', 21)
 
('now”', 21)
 
('daughter', 21)
 
('bring', 21)
 
('street', 21)
